lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
LOGN7,2ND BROAD RVR NR LOGAN,35.404166666667,-81.872222222222,0.13,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
LXGV2,LEXINGTON IFLOWS,37.791111111111,-79.43,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BGLT1,BIG LICK,35.817222222222,-85.036111111111,0.05,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
RKGW2,RUCKER GAP IFLOWS,37.941944444444,-80.075277777778,0.28,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:25:00Z,9999,9999,9999,None
DUNT1,Dunlap,35.3633,-85.3806,0.12,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1597274100000,9999,9999,None
SCHG1,Suches 4NW,34.719722222222,-84.065,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
NFGT1,Newfound Gap TN,35.610833333333,-83.428888888889,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1584264990000,9999,9999,None
WTBT1,WARTBURG,36.1166666666667,-84.6,0.39,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1593243000000,9999,9999,None
CEU,OCONEE CO REG AP,34.671944444444,-82.886666666667,0.01,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
PBCV2,POUND RIVER BELOW COLD CAMP CREEK NEAR POUND,37.121944444444,-82.598611111111,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1504266100000,9999,9999,None
PKCV2,ST. CHARLES,36.8,-83.0833333333333,0.16,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1591286100000,9999,9999,None
NBOV2,NEBO IFLOWS,36.9008333333333,-81.425,0.08,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
GVRS1,GREENVILLE 1 S,34.798055555556,-82.365,0.09,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
TRAV2,TRAPPERS LODGE IFLOWS,37.989166666667,-79.802777777778,0.12,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
LUTT1,LUTTRELL,36.207777777778,-83.746388888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1581229000000,9999,9999,None
CHA,LOVELL FIELD CHATTANOOGA,35.0247222222222,-85.2033333333333,0.03,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,1594241900000,9999,9999,None
WAVN7,WAYNESVILLE 4 S,35.426388888889,-83.010277777778,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BUEV2,BUSTED ROCK #2 IFLOWS,36.6888888888889,-80.3744444444444,0.08,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:05:00Z,9999,9999,9999,None
FALT1,FALL CREEK,35.6825,-85.308611111111,1.49,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
WLMS1,WILLIAMSTON DCP,34.620555555556,-82.482222222222,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
JCSS1,JOCASSEE DAM,34.956944444444,-82.919722222222,0.01,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
PEGV2,PENNINGTON GAP,36.75,-83.0166666666667,0.28,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1591281000000,9999,9999,None
WITV2,WITT'S ORCHARD,37.173889,-80.122222,0.52,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
AHNT1,ATHENS,35.467777777778,-84.585555555556,0.49,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1595218790000,9999,9999,None
BCDV2,BIG STONE GAP - BIG CHERRY DAM,36.838333333333,-82.671666666667,0.16,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1590256420000,9999,9999,None
SYVN7,SYLVA TVA RAIN,35.373055555556,-83.241388888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
WNRG1,Winder,34.045833333333,-83.711666666667,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
EGRW2,EGERIA IFLOWS,37.5422222222222,-81.1994444444444,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
IROV2,IRONTO IFLOWS,37.1661111111111,-80.3530555555556,0.47,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
ACST1,Ashland City,36.32,-87.051111111111,0.05,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CAVV2,CARVIN CREEK IFLOWS,37.3833333333333,-79.9466666666667,0.12,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:30:00Z,9999,9999,9999,None
CTHG1,CHATTAHOOCHEE RIVER NR LEAF,34.576944444444,-83.635833333333,0.92,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
SKYN7,SKYLAND 5 W CRN,35.495,-82.615,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
WLTN7,WALTERS DAM,35.703888888889,-83.041666666667,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
FGPT1,MULBERRY,36.5888888888889,-83.2277777777778,0.22,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1591254900000,9999,9999,None
CLFT1,Clifton,35.372777777778,-87.983611111111,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
MQY,SMYRNA,36.008888888889,-86.52,0.01,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
CLET1,CLEVELAND,35.183611111111,-84.821388888889,1.13,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1595219249000,9999,9999,None
CPRT1,COPPERHILL TN,35.003888888889,-84.386944444444,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1596219100000,9999,9999,None
BNHV2,BEN HUR,36.7205555555556,-83.1008333333333,0.24,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1591284000000,9999,9999,None
HKY,HICKORY REGIONAL AP,35.741111111111,-81.389444444444,0.59,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
MATW2,MATAOKA IFLOWS,37.41,-81.248333333333,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
FTGV2,POUND,37.0944,-82.6994,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1504269600000,9999,9999,None
SPWT1,SPEEDWELL,36.45,-83.8833333333333,0.07,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1591223900000,9999,9999,None
BKHV2,ABINGDON,36.7166666666667,-82.0666666666667,0.04,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:15:00Z,1578253590000,9999,9999,None
HDCG1,Helen,34.700833333333,-83.729444444444,0.14,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
NFPV2,NF POUND RIVER AT POUND (TAILWATER),37.125555555556,-82.626666666667,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1504267000000,9999,9999,None
PKVT1,PIKEVILLE,35.608888888889,-85.193888888889,1.9,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1597297500000,9999,9999,None
CSVT1,Crossville NCDC CRN Site,36.013888888889,-85.134444444444,0.18,PP,RG,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 18:10:00Z,9999,9999,9999,None
LLDN7,LAKE LOGAN DAM,35.420833333333,-82.925,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
FLDT1,Ft. Loudon Dam (Lenoir City 1E),35.7922222222222,-84.2455555555556,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1586251410000,9999,9999,None
RBKV2,WISE,36.9,-82.5333333333333,0.08,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
PELT1,Pelham,35.296666666667,-85.869722222222,0.36,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
BUTV2,BUTT MTN IFLOWS,37.3691666666667,-80.6230555555556,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
SUGV2,SUGARLOAF MTN IFLOWS,37.238611111111,-80.041944444444,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
CHOG1,Choestoe,34.8,-83.9,0.04,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
WLLV2,WILLIS DCP,36.86,-80.48,0.09,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
CLMT1,Coalmont,35.345,-85.6963888888889,0.64,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CBYT1,COSBY,35.808888888889,-83.248333333333,0.04,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1583225900000,9999,9999,None
POTV2,POTTS MTN. IFLOWS,37.536111111111,-80.230277777778,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
MBHV2,MOUNTAIN LAKE BIO IFLOWS,37.375555555556,-80.524722222222,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
EFLN7,TUXEDO HYDRO STATION,35.245833333333,-82.389166666667,0.53,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
DUFV2,DUFFIELD,36.7166666666667,-82.8,0.05,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1590238790000,9999,9999,None
LBYV2,LITTLE BRUSHY IFLOWS,36.988055555556,-81.475555555556,0.03,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BONN7,BOONE RG (TVA),36.1963888888889,-81.67,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
DECT1,DECATUR,35.5222,-84.7964,1.32,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594274300000,9999,9999,None
TUSG1,TITUS 2SW,34.950555555556,-83.615555555556,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
FLTN7,FLETCHER 4 W CRN,35.418611111111,-82.556666666667,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
BBKT1,BURBANK TN,36.148333333333,-82.101388888889,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1580229500000,9999,9999,None
DELT1,DEL RIO,35.886666666667,-82.974444444444,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1582234221000,9999,9999,None
TRUV2,TROUTVILLE IFLOWS,37.425555555556,-79.870277777778,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
NRKV2,NORTH FORK IFLOWS,37.454722222222,-80.528611111111,0.08,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
HLTV2,HILTON,36.65,-82.4666666666667,0.04,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1578251200000,9999,9999,None
PATN7,PATTERSON DCP,35.991388888889,-81.558333333333,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
WLGN7,WALLACE GAP,35.1,-83.55,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
DCNG1,Cornelia,34.540833333333,-83.622777777778,0.53,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
SWET1,SWEETWATER,35.5833333333333,-84.4666666666667,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1586238790000,9999,9999,None
NTYG1,Nottely Dam Automated Rain Gage,34.9608333333333,-84.0869444444444,0.67,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
JSST1,JOHN SEVIER FOSSIL PLANT,36.376111111111,-82.961111111111,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1581279000000,9999,9999,None
PELS1,PELHAM,34.856388888889,-82.226388888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BFMV2,BUFFALO MTN. IFLOWS,36.776944444444,-80.517222222222,0.48,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
CEHT1,CENTER HILL DAM,36.0975,-85.827222222222,0.36,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
GLDV2,GLADESBORO IFLOWS,36.672222222222,-80.616111111111,0.75,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:20:00Z,9999,9999,9999,None
STLT1,Statesville,36.018333333333,-86.120833333333,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:30:00Z,9999,9999,9999,None
ARTT1,Arthur TN,36.541666666667,-83.630277777778,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1591239000000,9999,9999,None
PTBT1,Petersburg,35.3266666666667,-86.6538888888889,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
PEEV2,PETERS CREEK IFLOWS,37.322777777778,-80.02,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
GVST1,TEMPERANCE HALL,36.086944444444,-85.907222222222,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
BYGT1,BYRDSTOWN,36.561111111111,-85.072222222222,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
ISOT1,ISOLINE,36.078055555556,-84.889444444444,0.36,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
CSV,CROSSVILLE MUNICIPAL AIRPORT,35.954166666667,-85.0825,0.11,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
WBOT1,Watts Bar Dam,35.6166666666667,-84.7833333333333,0.72,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1594293000000,9999,9999,None
MRNV2,MARION TVA RG,36.8544444444444,-81.4819444444445,0.14,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
VSUV2,VESUVIUS IFLOWS,37.915,-79.1944444444444,0.08,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:20:00Z,9999,9999,9999,None
MTRV2,MOUNT ROGERS,36.807778,-81.424444,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
FYGV2,FANCY GAP IFLOWS,36.668055555556,-80.691388888889,0.04,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:15:00Z,9999,9999,9999,None
CSQG1,SOQUE RIVER AT GA 197 NR CLARKSVILLE,34.618611111111,-83.528888888889,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
EPWG1,Epworth,34.903333333333,-84.436111111111,0.16,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
IGPV2,Wise,37.0166666666667,-82.6,0.32,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:45:00Z,1590268000000,9999,9999,None
GIRG1,Girard 8NNW,33.15,-81.7561111111111,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
MOOV2,GATHRIGHT DAM DCP,37.9494444444445,-79.9594444444444,0.14,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
NCCT1,Mile Straight,35.2111111,-85.215278,0.09,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594252300000,9999,9999,None
DNGV2,CLINCH RIVER AT DUNGANNON,36.830555555556,-82.461388888889,0.12,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1590258100000,9999,9999,None
